Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1,Margin of Error; Enrolled in school: - Enrolled in grade 1,Estimate; Enrolled in school: - Enrolled in grade 2,Margin of Error; Enrolled in school: - Enrolled in grade 2,Estimate; Enrolled in school: - Enrolled in grade 3,Margin of Error; Enrolled in school: - Enrolled in grade 3,Estimate; Enrolled in school: - Enrolled in grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 4,Estimate; Enrolled in school: - Enrolled in grade 5,Margin of Error; Enrolled in school: - Enrolled in grade 5,Estimate; Enrolled in school: - Enrolled in grade 6,Margin of Error; Enrolled in school: - Enrolled in grade 6,Estimate; Enrolled in school: - Enrolled in grade 7,Margin of Error; Enrolled in school: - Enrolled in grade 7,Estimate; Enrolled in school: - Enrolled in grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 8,Estimate; Enrolled in school: - Enrolled in grade 9,Margin of Error; Enrolled in school: - Enrolled in grade 9,Estimate; Enrolled in school: - Enrolled in grade 10,Margin of Error; Enrolled in school: - Enrolled in grade 10,Estimate; Enrolled in school: - Enrolled in grade 11,Margin of Error; Enrolled in school: - Enrolled in grade 11,Estimate; Enrolled in school: - Enrolled in grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
Perry North,62,3645,369.1815272,805,173.9511426,64,44.60941605,12,30,26,25.3968502,20,23.87467277,14,26.57066051,59,41.54515616,78,49.08156477,62,54.27706698,32,28.72281323,27,26.11512971,28,33.43650699,21,25.90366769,15,25.86503431,51,31.01612484,217,76.70723564,79,37.80211634,2840,277.8812696
Perry South,63,3248,423.8478501,849,227.1453279,98,68.2202316,70,46.4865572,54,47.644517,61,50.21951812,57,45.82575695,73,59.25369187,1,22.71563338,21,28.72281323,30,29.30870178,28,30.19933774,18,32.40370349,53,41.20679556,59,43.16248371,50,45.7165178,97,71.28113355,79,57.67148342,2399,291.6230444
Point Breeze,64,5218,319.7764844,1232,166.5983193,129,61.08191222,70,38.27531842,33,28.08914381,16,24.2693222,52,33.3166625,36,30.21588986,13,27.5680975,113,57.41950888,55,36.27671429,45,30.2654919,56,31.60696126,53,37.76241518,90,50.58655948,35,29.01723626,176,63.14269554,260,77.11031059,3986,252.8003165
Point Breeze North,65,1701,248.4894364,308,116.1593733,11,16.88194302,21,29.3428015,0,17.32050808,8,22.11334439,0,17.32050808,0,17.32050808,11,22.89104628,15,22.09072203,0,17.32050808,0,17.32050808,12,23.68543856,0,17.32050808,0,17.32050808,14,26.15339366,88,58.94064811,128,69.26759704,1393,202.0618717
Polish Hill,66,1297,170.5520448,126,40.60788101,9,12.04159458,0,14.14213562,0,14.14213562,6,12.80624847,0,14.14213562,5,12.20655562,0,14.14213562,2,10.77032961,0,14.14213562,10,14.14213562,0,14.14213562,7,14.86606875,0,14.14213562,28,20.51828453,21,16.40121947,38,26.17250466,1171,163.8352831
Regent Square,67,1009,102,232,71,9,13,18,16,0,10,13,21,14,16,20,23,18,15,5,9,35,17,11,11,9,11,12,14,6,9,6,9,6,8,50,30,777,73
Ridgemont,68,277,94,31,35,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,14,20,17,30,246,91
Shadyside,69,13290,840.3868157,4694,536.0587654,87,66.8954408,65,59.08468499,54,65.02307283,17,40.31128874,35,57.07013229,24,39.87480407,19,38,8,38,59,50.44799302,56,44.36214603,0,37.41657387,32,42.77849927,43,60.04165221,28,44.78839135,1333,300.9235783,2834,409.5399858,8596,602.4184592
Sheraden,70,5397,628.0668754,1454,342.0730916,151,106.0895848,43,53.86093204,43,47.14870094,181,110.408333,65,71.78439942,131,97.32933782,141,91.31264973,36,42.05948169,31,37.74917218,31,33.76388603,32,33.76388603,139,83.42062095,37,38.79432948,127,89.93886813,148,68.14690015,118,83.00602388,3943,400.0962384
South Oakland,71,2910,508.9695472,1598,391.2761173,0,20,0,20,17,23.36664289,10,20.51828453,18,28.7923601,0,20,25,28.01785145,0,20,50,39.62322551,48,42.91852747,0,20,38,44.49719092,0,20,11,24.97999199,1042,294.8202842,339,238.3379953,1312,280.7525601
